host_id,host_name,city,state,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value
5867023,Michael,New York,NY,10022-4175,United States,40.75685194,-73.96475423,Apartment,Entire home/apt,2,1,1,1,Real Bed,,$160.00 ,322,62,86,7,10,9
2631556,Denise,New York,NY,,United States,40.83059907,-73.94101428,Apartment,Entire home/apt,10,1,3,3,Real Bed,,$105.00 ,348,22,85,8,7,8
4601412,Miao,Brooklyn,NY,11221,United States,40.69218932,-73.92412,Apartment,Private room,2,1,1,2,Real Bed,,$58.00 ,227,35,98,10,9,10
198425,Sara,New York,NY,10011,United States,40.73475109,-74.00259246,Apartment,Entire home/apt,2,1,1,1,Real Bed,,$185.00 ,274,26,96,9,10,9
22590025,Charles,New York,NY,10011,United States,40.74528161,-73.99783627,Apartment,Entire home/apt,2,1,1,2,Real Bed,,$195.00 ,365,1,100,10,10,10
343302,Price,Brooklyn,NY,11231,United States,40.6790599,-73.99473046,Apartment,Entire home/apt,6,1,2,3,Real Bed,,$165.00 ,287,16,96,9,10,9
4148973,Francisco,Brooklyn,NY,11207,United States,40.68442184,-73.90988221,Apartment,Private room,2,1,1,1,Real Bed,,$80.00 ,364,0,,,,
13119459,Jordan,New York,NY,10013,United States,40.71931947,-73.99724679,Apartment,Private room,2,1,1,1,Real Bed,,$120.00 ,273,0,,,,
4421803,Jen,New York,NY,10003,United States,40.72602241,-73.98641795,Apartment,Entire home/apt,4,1,2,2,Real Bed,,$150.00 ,274,14,96,9,10,9
4973668,Gloria,Brooklyn,NY,11221,United States,40.68642018,-73.9344017,Apartment,Shared room,2,1,1,1,Real Bed,,$40.00 ,335,10,94,9,9,9
2219808,Garth,Brooklyn,NY,11217,United States,40.68906208,-73.97790509,Apartment,Entire home/apt,4,,1,1,Real Bed,,$150.00 ,334,0,,,,
24879430,Dave,Brooklyn,NY,11221,United States,40.68906438,-73.91614428,Apartment,Private room,2,1,1,1,Real Bed,,$75.00 ,337,0,,,,
652642,John,New York,NY,10018,United States,40.75112878,-73.98534538,Apartment,Shared room,4,1,1,4,Real Bed,600,$80.00 ,365,7,80,6,10,8
10303472,Vaughn,Brooklyn,NY,11213,United States,40.6677904,-73.93678658,Apartment,Private room,2,1,1,1,Real Bed,,$110.00 ,364,26,91,10,8,9
7365834,Sebastian,New York,NY,10019,United States,40.76067918,-73.98444316,Apartment,Entire home/apt,3,1,1,2,Real Bed,,$189.00 ,365,7,86,8,10,8
4260203,Megan,New York,NY,10014,United States,40.73510923,-74.00182143,Apartment,Entire home/apt,3,1,1,1,Real Bed,,$200.00 ,339,8,100,9,10,9
869880,Cynthia K,New York,NY,10003,United States,40.73328538,-73.9843566,Apartment,Private room,1,1,1,1,Real Bed,,$95.00 ,365,6,90,9,10,9
9348914,Danielle,New York,NY,10040,United States,40.86227015,-73.9270169,Apartment,Entire home/apt,2,1,1,1,Real Bed,,$125.00 ,365,2,100,8,8,10
1860033,Skylar,New York,NY,10033,United States,40.84796614,-73.93046644,Apartment,Shared room,1,1,1,1,Real Bed,,$35.00 ,365,6,73,8,9,8
4344968,Margie,Brooklyn,NY,11238,United States,40.67099719,-73.9581066,Apartment,Entire home/apt,4,1,1,2,Real Bed,,$165.00 ,349,1,80,6,10,10
724988,Shelli,New York,NY,10038,United States,40.70687933,-74.00548582,Apartment,Private room,2,1,1,1,Real Bed,500,$100.00 ,123,30,90,8,10,9
21892444,Francesca,New York,NY,10027,United States,40.80652596,-73.95193601,Apartment,Entire home/apt,2,1,1,1,Real Bed,,$110.00 ,191,2,100,8,8,8
3967335,Molly,Brooklyn,NY,11222,United States,40.72606714,-73.95102528,Apartment,Private room,1,1,1,1,Real Bed,,$65.00 ,336,4,95,10,10,10
24873252,Samantha,Brooklyn,NY,11206,United States,40.69863005,-73.9285374,Apartment,Private room,2,2,1,1,Real Bed,,$200.00 ,2,0,,,,
13298061,George,New York,NY,10025,United States,40.79932214,-73.96767927,Apartment,Private room,2,1,1,1,Real Bed,,$150.00 ,332,11,96,10,10,9
9374970,Barrett,New York,NY,10013,United States,40.71812503,-73.99484809,Apartment,Private room,3,2,1,1,Real Bed,,$300.00 ,2,0,,,,
5926,Cin,New York,NY,10030,United States,40.81316065,-73.94902419,Apartment,Entire home/apt,10,1,3,5,Real Bed,,$255.00 ,324,33,88,8,7,8
22623725,Marlyn,New York,NY,10035,United States,40.80361525,-73.94079242,Apartment,Private room,2,1,1,2,Real Bed,,$150.00 ,365,0,,,,
