city,zipcode,property_type,room_type,bed_type,location_group,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,availability_365,price_per_accommodation
105,23,1,1,5,14,40.75685194,-73.96475423,2.0,1.0,1.0,1.0,160.0,322.0,80.0
105,108,1,1,5,17,40.83059907,-73.94101428,10.0,1.0,3.0,3.0,105.0,348.0,10.5
33,118,1,2,5,12,40.69218932,-73.92412,2.0,1.0,1.0,2.0,58.0,227.0,29.0
105,13,1,1,5,11,40.73475109,-74.00259246,2.0,1.0,1.0,1.0,185.0,274.0,92.5
105,13,1,1,5,11,40.74528161,-73.99783627,2.0,1.0,1.0,2.0,195.0,365.0,97.5
33,127,1,1,5,11,40.6790599,-73.99473046,6.0,1.0,2.0,3.0,165.0,287.0,27.5
33,104,1,2,5,12,40.68442184,-73.90988221,2.0,1.0,1.0,1.0,80.0,364.0,40.0
105,15,1,2,5,11,40.71931947,-73.99724679,2.0,1.0,1.0,1.0,120.0,273.0,60.0
105,3,1,1,5,11,40.72602241,-73.98641795,4.0,1.0,2.0,2.0,150.0,274.0,37.5
33,118,1,3,5,11,40.68642018,-73.9344017,2.0,1.0,1.0,1.0,40.0,335.0,20.0
33,114,1,1,5,11,40.68906208,-73.97790509,4.0,1.1162872739425898,1.0,1.0,150.0,334.0,37.5
33,118,1,2,5,12,40.68906438,-73.91614428,2.0,1.0,1.0,1.0,75.0,337.0,37.5
105,19,1,3,5,14,40.75112878,-73.98534538,4.0,1.0,1.0,4.0,80.0,365.0,20.0
33,110,1,2,5,8,40.6677904,-73.93678658,2.0,1.0,1.0,1.0,110.0,364.0,55.0
105,20,1,1,5,14,40.76067918,-73.98444316,3.0,1.0,1.0,2.0,189.0,365.0,63.0
105,16,1,1,5,11,40.73510923,-74.00182143,3.0,1.0,1.0,1.0,200.0,339.0,66.66666666666667
105,3,1,2,5,11,40.73328538,-73.9843566,1.0,1.0,1.0,1.0,95.0,365.0,95.0
105,42,1,1,5,18,40.86227015,-73.9270169,2.0,1.0,1.0,1.0,125.0,365.0,62.5
105,35,1,3,5,18,40.84796614,-73.93046644,1.0,1.0,1.0,1.0,35.0,365.0,35.0
33,134,1,1,5,11,40.67099719,-73.9581066,4.0,1.0,1.0,2.0,165.0,349.0,41.25
105,40,1,2,5,11,40.70687933,-74.00548582,2.0,1.0,1.0,1.0,100.0,123.0,50.0
105,28,1,1,5,14,40.80652596,-73.95193601,2.0,1.0,1.0,1.0,110.0,191.0,55.0
33,119,1,2,5,11,40.72606714,-73.95102528,1.0,1.0,1.0,1.0,65.0,336.0,65.0
33,103,1,2,5,12,40.69863005,-73.9285374,2.0,2.0,1.0,1.0,200.0,2.0,100.0
105,26,1,2,5,14,40.79932214,-73.96767927,2.0,1.0,1.0,1.0,150.0,332.0,75.0
105,15,1,2,5,11,40.71812503,-73.99484809,3.0,2.0,1.0,1.0,300.0,2.0,100.0
105,32,1,1,5,14,40.81316065,-73.94902419,10.0,1.0,3.0,5.0,255.0,324.0,25.5
105,37,1,2,5,14,40.80361525,-73.94079242,2.0,1.0,1.0,2.0,150.0,365.0,75.0
105,3,1,1,5,11,40.73400013,-73.99449085,2.0,1.0,1.0,2.0,299.0,353.0,149.5
105,15,1,1,5,11,40.72345022,-74.00325733,2.0,1.0,0.0,1.0,195.0,213.0,97.5
105,40,1,1,5,11,40.71117318,-74.00667598,3.0,1.0,1.0,1.0,365.0,347.0,121.66666666666667
105,20,1,2,5,14,40.76543852,-73.99463794,2.0,1.0,1.0,1.0,105.0,1.0,52.5
105,10,1,1,5,11,40.73021049,-73.98145037,5.0,1.0,1.0,2.0,225.0,364.0,45.0
105,33,1,2,5,14,40.82490946,-73.95137108,4.0,1.0,1.0,1.0,90.0,220.0,22.5
105,17,1,1,2,11,40.74009883,-73.97914504,2.0,1.0,0.0,1.0,150.0,283.0,75.0
105,27,1,1,5,14,40.80117641,-73.95450999,4.0,1.0,1.0,2.0,125.0,6.0,31.25
105,28,1,2,3,14,40.81094295,-73.95097066,2.0,1.0,1.0,1.0,109.0,365.0,54.5
105,13,1,1,5,11,40.74139958,-73.99747325,4.0,1.0,2.0,2.0,400.0,311.0,100.0
105,7,1,2,5,11,40.70654355,-74.00878387,2.0,1.0,1.0,1.0,99.0,365.0,49.5
105,32,11,2,5,14,40.81904473,-73.94325286,2.0,1.0,1.0,1.0,89.0,270.0,44.5
105,14,1,1,5,11,40.72633595,-73.99377219,4.0,1.0,2.0,2.0,250.0,360.0,62.5
120,92,1,2,5,15,40.77245498,-73.91922627,3.0,1.0,1.0,1.0,80.0,89.0,26.666666666666668
33,103,1,2,5,12,40.69928064,-73.92903403,1.0,1.0,1.0,1.0,65.0,2.0,65.0
105,10,1,1,5,11,40.72371544,-73.98378124,2.0,1.0,1.0,1.0,100.0,349.0,50.0
105,49,1,1,5,14,40.77968507,-73.9533856,4.0,1.0,2.0,2.0,250.0,360.0,62.5
88,91,11,2,5,15,40.75619433,-73.93004987,2.0,1.0,1.0,1.0,66.0,361.0,33.0
33,103,1,1,5,11,40.69291683,-73.94824935,6.0,1.0,2.0,3.0,160.0,363.0,26.666666666666668
105,33,1,2,5,14,40.82322106,-73.95576409,2.0,1.0,1.0,1.0,70.0,328.0,35.0
33,118,1,2,5,12,40.69227781,-73.93093563,2.0,1.0,1.0,1.0,35.0,357.0,17.5
33,103,1,2,5,11,40.69960612,-73.94069028,2.0,2.0,1.0,1.0,69.0,365.0,34.5
105,16,1,2,5,11,40.73636309,-74.00194059,2.0,1.0,1.0,1.0,125.0,365.0,62.5
105,33,1,2,5,14,40.82660106,-73.94592741,1.0,0.5,1.0,1.0,50.0,68.0,50.0
120,158,1,2,5,12,40.7056668,-73.91600832,1.0,1.0,1.0,1.0,80.0,1.0,80.0
105,29,1,1,5,14,40.77322447,-73.95091014,5.0,1.0,1.0,1.0,199.0,87.0,39.8
105,10,1,1,5,11,40.72919293,-73.97794438,4.0,1.0,2.0,2.0,250.0,0.0,62.5
33,103,1,1,5,11,40.7076077,-73.94266309,6.0,1.0,2.0,2.0,140.0,0.0,23.333333333333332
33,108,14,1,5,11,40.71332286,-73.93629172,4.0,1.0,0.0,2.0,149.0,122.0,37.25
105,14,1,1,5,11,40.7280078,-74.00094807,4.0,1.0,2.0,2.0,400.0,312.0,100.0
105,40,1,2,5,11,40.70776341,-74.00196747,2.0,1.5,1.0,2.0,150.0,365.0,75.0
33,108,1,1,5,11,40.71317202,-73.93690763,5.0,1.5,1.0,2.0,275.0,1.0,55.0
105,26,1,2,5,14,40.79456326,-73.96828413,1.0,1.0,1.0,1.0,150.0,365.0,150.0
33,112,1,1,5,11,40.67660167,-73.98390418,4.0,1.0,1.0,2.0,139.0,272.0,34.75
105,9,1,1,5,11,40.7160687,-74.00782339,3.0,1.0,1.0,1.0,275.0,285.0,91.66666666666667
